size,red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
9402,155.59,78.79,46.76,11.99,176.47,155.59,30.04,187.62,117,-241,301,0.506395013,1.506395013,0.806928466,1.806928466,0.663836505,0.336163495,0.6204596,1.389374846,0.55342534,0.44657466
9491,135.74,59.04,39.58,23.87,179.69,135.76,37.12,155.2,120,-251,267,0.434949168,1.434949168,0.726536025,1.726536025,0.696888798,0.303111202,0.56251426,1.336755647,0.579194402,0.420805598
9718,136.53,58.61,39.11,18.04,181.42,136.53,38.81,156.03,120,-241,287,0.429282941,1.429282941,0.71574013,1.71574013,0.699651532,0.300348468,0.556365293,1.333693919,0.582838847,0.417161153
9683,164.19,103.06,62.08,11.68,158.68,164.19,-0.95,205.17,107,-238,320,0.627687435,1.627687435,1.00578598,2.00578598,0.614368569,0.385631431,0.729836037,1.455473549,0.498557678,0.501442322
9069,154.07,118.7,58.21,17.9,157.45,154.1,-22.84,214.56,52,-240,322,0.770429026,1.770429026,1.148244305,2.148244305,0.564834843,0.435165157,0.833380441,1.559167138,0.465496405,0.534503595
9806,159.41,98.55,57.69,11.88,160.4,159.41,3.17,200.27,107,-251,317,0.618217176,1.618217176,0.980114171,1.980114171,0.617964025,0.382035975,0.719668356,1.453938277,0.505021384,0.494978616
9769,150.54,78.62,48.94,8.9,171.1,150.54,22.98,180.22,115,-228,313,0.522253222,1.522253222,0.847349542,1.847349542,0.656920929,0.343079071,0.639462603,1.394124724,0.541316073,0.458683927
9677,157.06,98.08,56.15,12.24,162.25,157.06,2.83,198.99,99,-243,313,0.624474723,1.624474723,0.981981408,1.981981408,0.615583601,0.384416399,0.723371324,1.460015947,0.504545601,0.495454399
9827,164.01,111.32,62.58,14.24,155.92,164.01,-9.89,212.75,95,-239,326,0.678739101,1.678739101,1.060301201,2.060301201,0.595685178,0.404314822,0.767465466,1.491283817,0.485365926,0.514634074
9679,170.61,114.68,61.61,14.53,160.65,170.61,-5.68,223.68,92,-234,323,0.672176309,1.672176309,1.033292304,2.033292304,0.598023064,0.401976936,0.759150805,1.493842046,0.491813203,0.508186797
9904,160.71,88.16,48.82,10.62,174.72,160.71,23.73,200.05,110,-244,307,0.54856574,1.54856574,0.852342729,1.852342729,0.64575883,0.35424117,0.653748867,1.420751205,0.539856898,0.460143102
10017,157.82,81.66,46.85,9.76,176.73,157.82,29.31,192.63,112,-245,289,0.517424914,1.517424914,0.814282094,1.814282094,0.659011191,0.340988809,0.627888797,1.39898373,0.551182202,0.448817798
10040,165.26,105.06,57.2,13.09,165.5,165.26,3,213.12,94,-239,322,0.635725523,1.635725523,0.981846787,1.981846787,0.611349512,0.388650488,0.729389553,1.472264677,0.504579873,0.495420127
9339,160.94,115.8,57.07,16.89,164.32,160.96,-11.93,219.67,89,-242,330,0.719522804,1.719522804,1.074127004,2.074127004,0.581556696,0.418443304,0.792945278,1.531168295,0.482130553,0.517869447
9383,163.83,119.85,56.78,17.45,165.46,163.83,-12.8,226.9,66,-242,338,0.731550998,1.731550998,1.078129769,2.078129769,0.57751692,0.42248308,0.80064367,1.543266398,0.481201903,0.518798097
9392,163.12,123.09,59.79,18.13,161.38,163.13,-19.76,226.42,56,-238,342,0.754597842,1.754597842,1.121137813,2.121137813,0.569931169,0.430068831,0.820420798,1.552195954,0.471445087,0.528554913
9873,167.22,118.47,58.12,16.41,165.4,167.23,-9.37,227.57,87,-246,334,0.708467887,1.708467887,1.056033967,2.056033967,0.585319752,0.414680248,0.783660247,1.525738883,0.486373288,0.513626712
9511,142.16,81.21,51.64,10.18,163.47,142.16,9.31,171.73,109,-245,337,0.571257738,1.571257738,0.934510411,1.934510411,0.636432824,0.363567176,0.685500516,1.419040248,0.516926657,0.483073343
8862,147.12,85.91,51.38,10.52,163.66,147.13,9.83,181.65,112,-245,310,0.583945079,1.583945079,0.933183796,1.933183796,0.631335021,0.368664979,0.69163728,1.43279597,0.51728139,0.48271861
9675,124.21,62.78,44.93,14.19,164.29,124.21,16.5,142.06,109,-245,332,0.505434345,1.505434345,0.867160454,1.867160454,0.664260121,0.335739879,0.636809743,1.37117181,0.535572611,0.464427389
9724,124.75,61.57,44.3,8.67,165.83,124.75,18.88,142.02,116,-249,303,0.493547094,1.493547094,0.848657315,1.848657315,0.669547016,0.330452984,0.626264419,1.364211772,0.540933137,0.459066863
9462,146.84,86.19,56.26,9.77,156.02,146.84,4.39,176.77,109,-245,325,0.586965405,1.586965405,0.970103514,1.970103514,0.630133459,0.369866541,0.701378631,1.42437223,0.507587542,0.492412458
9389,149.02,88.59,52.52,10.87,161.13,149.02,7.91,185.09,116,-239,329,0.594483962,1.594483962,0.946919877,1.946919877,0.627162156,0.372837844,0.700158777,1.439565347,0.51363182,0.48636818
9352,147.83,71.88,40.71,8.85,183.65,147.83,35.24,179,112,-235,314,0.486234188,1.486234188,0.761618075,1.761618075,0.672841473,0.327158527,0.59716771,1.381245359,0.567659934,0.432340066
9014,120.85,45.63,37.11,12.16,179.51,120.85,38.11,129.37,110,-250,278,0.377575507,1.377575507,0.684650393,1.684650393,0.725913023,0.274086977,0.523803495,1.2888706,0.59359497,0.40640503
9746,123.46,47.36,38.02,6.15,179.89,123.46,38.08,132.8,114,-245,284,0.383606026,1.383606026,0.691560019,1.691560019,0.722749093,0.277250907,0.528734209,1.293287094,0.591170274,0.408829726
9786,159.09,90.61,52.49,10.41,171.8,159.09,15.99,197.21,124,-212,330,0.569551826,1.569551826,0.899490854,1.899490854,0.637124549,0.362875451,0.676339919,1.428254088,0.526456865,0.473543135
