red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
156.01,66.77,52.06,51.79,178.07,156.03,37.18,170.72,153.0,-247.0,321.0
167.54,77.31,47.52,32.93,185.72,167.54,42.71,197.33,165.0,-242.0,359.0
174.98,109.64,60.74,13.15,169.35,174.98,4.6,223.88,132.0,-208.0,364.0
178.1,113.65,65.23,29.72,166.86,178.1,-0.78,226.52,139.0,-196.0,351.0
163.53,78.48,49.95,58.27,187.19,163.53,35.1,192.06,152.0,-223.0,357.0
171.9,141.41,75.73,24.81,147.51,173.09,-45.24,237.58,108.0,-234.0,374.0
151.02,73.69,73.96,106.79,142.91,151.03,3.37,150.75,145.0,-207.0,316.0
160.22,62.56,53.26,80.78,178.54,160.22,44.4,169.52,147.0,-198.0,320.0
179.79,127.29,72.49,21.49,156.0,180.51,-19.99,234.59,139.0,-214.0,383.0
172.19,114.46,80.57,49.42,143.39,172.37,-22.84,206.08,137.0,-235.0,374.0
146.7,52.64,55.74,120.25,171.8,146.7,38.32,143.6,151.0,-203.0,301.0
177.83,135.43,83.33,48.86,141.93,178.96,-40.93,229.93,129.0,-242.0,368.0
151.99,65.86,71.17,124.6,154.76,151.99,14.96,146.68,162.0,-208.0,317.0
115.3,34.83,47.33,147.7,181.96,115.3,33.14,102.8,141.0,-246.0,310.0
170.43,98.28,74.34,76.81,158.58,170.97,-2.19,194.37,146.0,-191.0,344.0
192.26,150.85,91.55,33.89,136.31,192.26,-50.14,251.56,88.0,-237.0,371.0
123.31,42.32,54.82,150.76,171.6,123.31,26.17,110.81,123.0,-228.0,292.0
204.79,169.15,83.49,21.38,152.63,204.79,-47.85,290.45,98.0,-187.0,402.0
159.95,58.19,62.12,116.57,176.35,159.95,39.64,156.02,154.0,-249.0,331.0
177.87,109.74,64.8,51.67,168.79,177.88,3.33,222.81,198.0,-219.0,393.0
200.68,116.27,65.93,26.49,172.9,200.68,18.48,251.02,157.0,-181.0,359.0
192.57,93.69,63.55,49.84,176.9,192.57,35.33,222.71,181.0,-172.0,371.0
178.57,102.91,65.69,70.59,172.82,178.57,9.97,215.79,181.0,-230.0,403.0
180.72,109.73,62.73,31.71,169.42,180.72,8.26,227.72,149.0,-248.0,405.0
174.99,79.79,64.04,67.21,169.88,175.02,31.16,190.74,152.0,-188.0,368.0
144.47,42.51,58.76,153.89,182.61,144.47,43.2,128.22,147.0,-233.0,315.0
197.49,106.33,65.6,25.35,171.29,197.49,25.56,238.22,166.0,-176.0,362.0
194.43,123.83,58.94,19.54,178.12,194.43,11.66,259.32,134.0,-179.0,374.0
159.73,48.22,48.38,103.65,194.67,159.73,63.13,159.57,180.0,-243.0,357.0
187.69,112.13,59.57,12.99,178.86,187.7,15.99,240.25,152.0,-220.0,374.0
